id,payment_id,payment_type,payment_date,payment_status,amount
1,PAY-102562,Debit Card,2024-01-24,Refunded,113
2,PAY-209978,Debit Card,2024-06-04,Pending,351
3,PAY-876653,Apple Pay,2024-03-25,Refunded,940
4,PAY-479035,Apple Pay,2024-10-20,Failed,71
5,PAY-923203,Bank Transfer,2024-04-30,Completed,799
6,PAY-320648,Bank Transfer,2024-06-25,Failed,1493
7,PAY-862031,Apple Pay,2024-10-13,Refunded,423
8,PAY-834599,Bank Transfer,2024-03-03,Pending,684
9,PAY-379571,Credit Card,2024-07-03,Refunded,864
10,PAY-446636,Credit Card,2024-12-12,Failed,716
11,PAY-740142,Debit Card,2024-03-22,Completed,411
12,PAY-776450,PayPal,2024-06-13,Pending,599
13,PAY-460492,Bank Transfer,2024-01-23,Failed,1406
14,PAY-428530,PayPal,2024-12-04,Failed,75
15,PAY-770682,Apple Pay,2024-02-16,Refunded,1422
16,PAY-435797,Debit Card,2024-05-05,Failed,1739
17,PAY-984877,Debit Card,2024-10-21,Refunded,63
18,PAY-357937,PayPal,2024-11-30,Completed,749
19,PAY-460220,Apple Pay,2024-12-04,Refunded,1519
20,PAY-567740,Debit Card,2024-02-20,Pending,257
21,PAY-555499,Credit Card,2024-08-17,Pending,1287
22,PAY-585683,Credit Card,2024-09-26,Pending,14
23,PAY-401067,Apple Pay,2024-11-04,Refunded,1708
24,PAY-294400,Bank Transfer,2024-05-03,Pending,133
25,PAY-874045,PayPal,2024-01-14,Refunded,1310
26,PAY-427771,Apple Pay,2024-03-26,Pending,1139
27,PAY-504290,Debit Card,2024-01-09,Failed,171
28,PAY-347513,Credit Card,2024-05-26,Refunded,1746
29,PAY-251491,Apple Pay,2024-01-29,Pending,1940
30,PAY-651617,Apple Pay,2024-02-01,Refunded,337
31,PAY-886338,Apple Pay,2024-08-20,Pending,379
32,PAY-675324,PayPal,2024-10-13,Completed,1259
33,PAY-677089,Apple Pay,2024-06-12,Refunded,110
34,PAY-385169,Apple Pay,2024-09-11,Refunded,1155
35,PAY-965347,Bank Transfer,2024-11-05,Refunded,1291
36,PAY-700905,Debit Card,2024-01-09,Pending,1070
37,PAY-115311,Credit Card,2024-04-19,Pending,836
38,PAY-457129,Apple Pay,2024-05-05,Failed,1510
39,PAY-277658,Bank Transfer,2024-07-28,Refunded,474
40,PAY-914973,Credit Card,2024-03-18,Completed,1421
41,PAY-527826,Bank Transfer,2024-01-08,Pending,1141
42,PAY-535055,Debit Card,2024-09-23,Failed,1755
43,PAY-343036,Debit Card,2024-10-17,Refunded,1204
44,PAY-837947,Debit Card,2024-06-16,Pending,882
45,PAY-370329,Debit Card,2024-11-29,Failed,1186
46,PAY-853128,Credit Card,2024-05-09,Pending,800
47,PAY-564907,Credit Card,2024-01-07,Completed,885
48,PAY-288549,Debit Card,2024-11-05,Failed,519
49,PAY-332080,Credit Card,2024-06-03,Pending,65
50,PAY-240987,PayPal,2024-12-28,Completed,1960
51,PAY-175961,PayPal,2024-05-03,Failed,525
52,PAY-293600,Credit Card,2024-01-09,Completed,41
53,PAY-939556,Debit Card,2024-05-23,Failed,195
54,PAY-682354,Apple Pay,2024-04-24,Failed,1264
55,PAY-945207,Bank Transfer,2024-07-30,Pending,1334
56,PAY-621613,Apple Pay,2024-02-08,Failed,187
57,PAY-878342,Bank Transfer,2024-10-24,Completed,950
58,PAY-552136,Bank Transfer,2024-07-02,Failed,1597
59,PAY-220313,Debit Card,2024-04-04,Completed,868
60,PAY-515835,Debit Card,2024-01-26,Failed,133
61,PAY-135318,PayPal,2024-04-20,Refunded,765
62,PAY-394528,Bank Transfer,2024-03-23,Failed,1386
63,PAY-815628,PayPal,2024-08-13,Completed,1598
64,PAY-620876,Bank Transfer,2024-05-18,Pending,1647
65,PAY-575987,PayPal,2024-07-27,Failed,47
66,PAY-399874,Apple Pay,2024-05-05,Completed,106
67,PAY-431580,Debit Card,2024-05-03,Refunded,1564
68,PAY-473704,Credit Card,2024-09-24,Refunded,140
69,PAY-811115,Bank Transfer,2024-02-11,Pending,890
70,PAY-391481,PayPal,2024-04-10,Refunded,1372
71,PAY-216550,Credit Card,2024-09-27,Completed,333
72,PAY-266597,Apple Pay,2024-09-15,Pending,1671
73,PAY-637731,Credit Card,2024-05-14,Completed,32
74,PAY-424397,Apple Pay,2024-11-04,Completed,1202
75,PAY-548023,Bank Transfer,2024-09-22,Pending,887
76,PAY-708190,PayPal,2024-10-27,Completed,1339
77,PAY-994163,Bank Transfer,2024-03-21,Completed,172
78,PAY-348522,Bank Transfer,2024-10-06,Completed,131
79,PAY-854564,Credit Card,2024-03-04,Pending,1341
80,PAY-804909,Credit Card,2024-01-31,Pending,595
81,PAY-441901,Apple Pay,2024-08-18,Completed,879
82,PAY-654562,PayPal,2024-06-16,Refunded,338
83,PAY-131918,Credit Card,2024-07-25,Pending,857
84,PAY-914248,Apple Pay,2024-01-01,Pending,78
85,PAY-293266,Apple Pay,2024-01-11,Failed,384
86,PAY-450604,Debit Card,2024-11-01,Failed,178
87,PAY-123966,Bank Transfer,2024-03-26,Pending,1175
88,PAY-808805,Apple Pay,2024-08-13,Failed,510
89,PAY-796430,Credit Card,2024-10-17,Failed,132
90,PAY-351476,Apple Pay,2024-10-29,Completed,971
91,PAY-484189,PayPal,2024-08-03,Refunded,20
92,PAY-262991,PayPal,2024-08-30,Failed,1504
93,PAY-261458,Apple Pay,2024-05-31,Refunded,1956
94,PAY-992327,Bank Transfer,2024-06-28,Refunded,1408
95,PAY-144468,Debit Card,2024-05-28,Pending,1414
96,PAY-205899,Bank Transfer,2024-03-18,Completed,376
97,PAY-854864,Apple Pay,2024-05-30,Refunded,1305
98,PAY-751683,Credit Card,2024-08-21,Completed,1120
99,PAY-648913,Bank Transfer,2024-01-20,Pending,916
100,PAY-227720,Debit Card,2024-03-24,Pending,1594
101,PAY-154421,PayPal,2024-10-13,Pending,1304
102,PAY-975190,Debit Card,2024-12-13,Pending,1911
103,PAY-133265,Apple Pay,2024-09-02,Failed,170
104,PAY-282793,Credit Card,2024-08-15,Pending,537
105,PAY-883017,Bank Transfer,2024-12-09,Completed,1732
106,PAY-462259,Bank Transfer,2024-07-22,Completed,1702
107,PAY-793299,Bank Transfer,2024-03-12,Failed,413
108,PAY-885338,Apple Pay,2024-10-10,Failed,621
109,PAY-288057,Bank Transfer,2024-06-08,Refunded,1291
110,PAY-815262,Debit Card,2024-07-18,Refunded,1527
111,PAY-718356,PayPal,2024-11-14,Failed,1555
112,PAY-452123,Credit Card,2024-09-30,Pending,672
113,PAY-313217,Bank Transfer,2024-01-01,Refunded,1383
114,PAY-386435,Debit Card,2024-03-25,Refunded,447
